epoch,accuracy,loss,val_accuracy,val_loss
0,0.7459999918937683,0.7334789633750916,0.6287500262260437,0.9182724952697754
1,0.8370000123977661,0.37957894802093506,0.9037500023841858,0.2652662396430969
2,0.8769999742507935,0.3075020909309387,0.9012500047683716,0.26099154353141785
3,0.8999999761581421,0.2366904616355896,0.9024999737739563,0.264810174703598
4,0.925000011920929,0.18768395483493805,0.90625,0.29922354221343994
5,0.9330000281333923,0.18123815953731537,0.9087499976158142,0.2685319781303406
6,0.9399999976158142,0.16691267490386963,0.8450000286102295,0.46690234541893005
7,0.949999988079071,0.1289672553539276,0.8949999809265137,0.39020630717277527
8,0.9570000171661377,0.10320886224508286,0.8849999904632568,0.3794592618942261
9,0.9700000286102295,0.09106415510177612,0.8949999809265137,0.3600326478481293
